date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2013-09-15,Rice - Retail,KG,cereals and tubers,10969.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2013-10-15,Rice - Retail,KG,cereals and tubers,10987.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2013-11-15,Rice - Retail,KG,cereals and tubers,11011.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2013-12-15,Rice - Retail,KG,cereals and tubers,11073.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2014-01-15,Rice - Retail,KG,cereals and tubers,11224.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2014-02-15,Rice - Retail,KG,cereals and tubers,11389.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2014-03-15,Rice - Retail,KG,cereals and tubers,11564.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2014-04-15,Rice - Retail,KG,cereals and tubers,11313.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2014-05-15,Rice - Retail,KG,cereals and tubers,11219.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2014-06-15,Rice - Retail,KG,cereals and tubers,11259.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2014-07-15,Rice - Retail,KG,cereals and tubers,11321.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2014-08-15,Rice - Retail,KG,cereals and tubers,11390.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2014-09-15,Rice - Retail,KG,cereals and tubers,11433.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2014-10-15,Rice - Retail,KG,cereals and tubers,11522.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2014-11-15,Rice - Retail,KG,cereals and tubers,11691.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2014-12-15,Rice - Retail,KG,cereals and tubers,12210.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2015-01-15,Rice - Retail,KG,cereals and tubers,12444.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2015-02-15,Rice - Retail,KG,cereals and tubers,12802.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2015-03-15,Rice - Retail,KG,cereals and tubers,13089.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2015-04-15,Rice - Retail,KG,cereals and tubers,12458.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2015-05-15,Rice - Retail,KG,cereals and tubers,12348.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2015-06-15,Rice - Retail,KG,cereals and tubers,12425.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2015-07-15,Rice - Retail,KG,cereals and tubers,12509.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2015-08-15,Rice - Retail,KG,cereals and tubers,12709.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2015-09-15,Rice - Retail,KG,cereals and tubers,12968.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2015-10-15,Rice - Retail,KG,cereals and tubers,13067.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2015-11-15,Rice - Retail,KG,cereals and tubers,13139.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2015-12-15,Rice - Retail,KG,cereals and tubers,13217.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2016-01-15,Rice - Retail,KG,cereals and tubers,13319.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2016-02-15,Rice - Retail,KG,cereals and tubers,13376.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2016-03-15,Rice - Retail,KG,cereals and tubers,13301.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2016-04-15,Rice - Retail,KG,cereals and tubers,13105.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2016-05-15,Rice - Retail,KG,cereals and tubers,13039.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2016-06-15,Rice - Retail,KG,cereals and tubers,13115.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2016-07-15,Rice - Retail,KG,cereals and tubers,13181.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2016-08-15,Rice - Retail,KG,cereals and tubers,13157.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2016-09-15,Rice - Retail,KG,cereals and tubers,13140.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2016-10-15,Rice - Retail,KG,cereals and tubers,13153.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2016-11-15,Rice - Retail,KG,cereals and tubers,13185.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2016-12-15,Rice - Retail,KG,cereals and tubers,13201.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2017-01-15,Rice - Retail,KG,cereals and tubers,13222.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2017-02-15,Rice - Retail,KG,cereals and tubers,13202.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2017-03-15,Rice - Retail,KG,cereals and tubers,13125.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2017-04-15,Rice - Retail,KG,cereals and tubers,13074.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2017-05-15,Rice - Retail,KG,cereals and tubers,13096.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2017-06-15,Rice - Retail,KG,cereals and tubers,13125.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2017-08-15,Rice - Retail,KG,cereals and tubers,13095.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2017-09-15,Rice - Retail,KG,cereals and tubers,13215.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2017-10-15,Rice - Retail,KG,cereals and tubers,13346.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2017-11-15,Rice - Retail,KG,cereals and tubers,13429.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2017-12-15,Rice - Retail,KG,cereals and tubers,13676.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2018-01-15,Rice - Retail,KG,cereals and tubers,14531.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2018-02-15,Rice - Retail,KG,cereals and tubers,14697.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2018-03-15,Rice - Retail,KG,cereals and tubers,14347.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2018-04-15,Rice - Retail,KG,cereals and tubers,14056.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2018-05-15,Rice - Retail,KG,cereals and tubers,13900.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2018-06-15,Rice - Retail,KG,cereals and tubers,13835.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2018-07-15,Rice - Retail,KG,cereals and tubers,13838.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2018-08-15,Rice - Retail,KG,cereals and tubers,13837.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2018-09-15,Rice - Retail,KG,cereals and tubers,13877.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2018-10-15,Rice - Retail,KG,cereals and tubers,13910.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2018-11-15,Rice - Retail,KG,cereals and tubers,14007.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2018-12-15,Rice - Retail,KG,cereals and tubers,14119.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2019-01-15,Rice - Retail,KG,cereals and tubers,14274.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2019-02-15,Rice - Retail,KG,cereals and tubers,14313.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2019-03-15,Rice - Retail,KG,cereals and tubers,14211.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2019-04-15,Rice - Retail,KG,cereals and tubers,14021.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2007-01-15,Wheat flour - Retail,KG,cereals and tubers,4328.2592,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2007-02-15,Wheat flour - Retail,KG,cereals and tubers,4386.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2007-03-15,Wheat flour - Retail,KG,cereals and tubers,4416.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2007-04-15,Wheat flour - Retail,KG,cereals and tubers,4459.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2007-05-15,Wheat flour - Retail,KG,cereals and tubers,4475.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2007-06-15,Wheat flour - Retail,KG,cereals and tubers,4499.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2007-07-15,Wheat flour - Retail,KG,cereals and tubers,4558.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2007-08-15,Wheat flour - Retail,KG,cereals and tubers,4717.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2007-09-15,Wheat flour - Retail,KG,cereals and tubers,4975.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2007-10-15,Wheat flour - Retail,KG,cereals and tubers,5300.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2007-11-15,Wheat flour - Retail,KG,cereals and tubers,5426.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2007-12-15,Wheat flour - Retail,KG,cereals and tubers,5846.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2008-01-15,Wheat flour - Retail,KG,cereals and tubers,6474.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2008-02-15,Wheat flour - Retail,KG,cereals and tubers,6970.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2008-03-15,Wheat flour - Retail,KG,cereals and tubers,7101.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2008-04-15,Wheat flour - Retail,KG,cereals and tubers,7062.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2008-05-15,Wheat flour - Retail,KG,cereals and tubers,7080.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2008-06-15,Wheat flour - Retail,KG,cereals and tubers,7110.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2008-07-15,Wheat flour - Retail,KG,cereals and tubers,7078.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2008-08-15,Wheat flour - Retail,KG,cereals and tubers,7105.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2008-09-15,Wheat flour - Retail,KG,cereals and tubers,7276.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2008-10-15,Wheat flour - Retail,KG,cereals and tubers,7326.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2008-11-15,Wheat flour - Retail,KG,cereals and tubers,7277.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2008-12-15,Wheat flour - Retail,KG,cereals and tubers,7218.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2009-01-15,Wheat flour - Retail,KG,cereals and tubers,7294.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2009-02-15,Wheat flour - Retail,KG,cereals and tubers,7352.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2009-03-15,Wheat flour - Retail,KG,cereals and tubers,7437.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2009-04-15,Wheat flour - Retail,KG,cereals and tubers,7423.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2009-05-15,Wheat flour - Retail,KG,cereals and tubers,7380.331,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2009-06-15,Wheat flour - Retail,KG,cereals and tubers,7374.9314,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2009-07-15,Wheat flour - Retail,KG,cereals and tubers,7392.3087,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2009-08-15,Wheat flour - Retail,KG,cereals and tubers,7387.8733,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2009-09-15,Wheat flour - Retail,KG,cereals and tubers,7406.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2009-10-15,Wheat flour - Retail,KG,cereals and tubers,7374.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2009-11-15,Wheat flour - Retail,KG,cereals and tubers,7364.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2009-12-15,Wheat flour - Retail,KG,cereals and tubers,7366.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2010-01-15,Wheat flour - Retail,KG,cereals and tubers,7376.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2010-02-15,Wheat flour - Retail,KG,cereals and tubers,7375.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2010-03-15,Wheat flour - Retail,KG,cereals and tubers,7303.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2010-04-15,Wheat flour - Retail,KG,cereals and tubers,7239.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2010-05-15,Wheat flour - Retail,KG,cereals and tubers,7189.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2010-06-15,Wheat flour - Retail,KG,cereals and tubers,7141.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2010-07-15,Wheat flour - Retail,KG,cereals and tubers,7091.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2010-08-15,Wheat flour - Retail,KG,cereals and tubers,7120.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2010-09-15,Wheat flour - Retail,KG,cereals and tubers,7189.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2010-10-15,Wheat flour - Retail,KG,cereals and tubers,7194.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2010-11-15,Wheat flour - Retail,KG,cereals and tubers,7196.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2010-12-15,Wheat flour - Retail,KG,cereals and tubers,7182.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2011-01-15,Wheat flour - Retail,KG,cereals and tubers,7179.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2011-02-15,Wheat flour - Retail,KG,cereals and tubers,7179.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2011-03-15,Wheat flour - Retail,KG,cereals and tubers,7179.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2011-04-15,Wheat flour - Retail,KG,cereals and tubers,7171.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
2011-05-15,Wheat flour - Retail,KG,cereals and tubers,7138.0,IDR,Indonesia,,0,National Average,974,58,15,5,1,974_58_15_5,
